	1-3s	2-2s	R-4s	4-1s	10-0s
n=1_total_number	2638	960	4341	1062	951
n=1_probability	0.002638	0.00096	0.004341	0.001062	0.000951
n=1_95%CI	0.002537 - 0.002739	0.000899 - 0.001021	0.004212 - 0.004470	0.000998 - 0.001126	0.000891 - 0.001011
n=1_ARL	379.08	1041.67	230.36	941.62	1051.52
n=2_total_number	5422	2926	12190	3202	3186
n=2_probability	0.005422	0.002926	0.01219	0.003202	0.003186
n=2_95%CI	0.005278 - 0.005566	0.002820 - 0.003032	0.011975 - 0.012405	0.003091 - 0.003313	0.003076 - 0.003296
n=2_ARL	184.43	341.76	82.03	312.3	313.87
n=3_total_number	8101	5722	22727	6148	5562
n=3_probability	0.008101	0.005722	0.022727	0.006148	0.005562
n=3_95%CI	0.007925 - 0.008277	0.005574 - 0.005870	0.022435 - 0.023019	0.005995 - 0.006301	0.005416 - 0.005708
n=3_ARL	123.44	174.76	44.0	162.65	179.79
n=4_total_number	10696	9409	35565	5337	8459
n=4_probability	0.010696	0.009409	0.035565	0.005337	0.008459
n=4_95%CI	0.010494 - 0.010898	0.009220 - 0.009598	0.035202 - 0.035928	0.005194 - 0.005480	0.008279 - 0.008639
n=4_ARL	93.49	106.28	28.12	187.37	118.22
n=6_total_number	15924	19295	66404	20072	15551
n=6_probability	0.015924	0.019295	0.066404	0.020072	0.015551
n=6_95%CI	0.015679 - 0.016169	0.019025 - 0.019565	0.065916 - 0.066892	0.019797 - 0.020347	0.015308 - 0.015794
n=6_ARL	62.8	51.83	15.06	49.82	64.3
